task,num_try,t_verif,t_unverif,p_unverif
Ball_False,4.333333333333333,83.11111111111111,56.44444444444444,0.9022481986223192
Ball_True,4.578947368421052,87.15789473684211,61.526315789473685,0.876990370880494
Cube_Rotation_False,4.5,15.9,63.2,0.6746678725788736
Cube_Rotation_True,4.5,15.9,60.25,0.6798907129313805
GameOfLife_False,4.5,4.5,95.75,0.8822916666666667
GameOfLife_True,5.083333333333333,4.5,98.16666666666667,0.8634955389725487
Vending_False,4.5,0.0,73.5,1.0
Vending_True,4.5,0.0,85.4,1.0
invaders_False,4.5,0.0,83.2,1.0
invaders_True,4.5,0.0,89.5,1.0
